Year,Temp_Anomaly,Land_Anomaly,Ocean_Anomaly,Carbon_Emissions
1880,-0.11,-0.48,-0.01,236.0
1881,-0.08,-0.4,0.01,243.0
1882,-0.1,-0.48,0.0,256.0
1883,-0.18,-0.66,-0.04,272.0
1884,-0.26,-0.69,-0.14,275.0
1885,-0.25,-0.56,-0.17,277.0
1886,-0.24,-0.51,-0.17,281.0
1887,-0.28,-0.47,-0.23,295.0
1888,-0.13,-0.41,-0.05,327.0
1889,-0.09,-0.31,-0.02,327.0
1890,-0.34,-0.51,-0.29,356.0
1891,-0.25,-0.52,-0.15,372.0
1892,-0.3,-0.49,-0.23,374.0
1893,-0.32,-0.54,-0.24,370.0
1894,-0.3,-0.38,-0.27,383.0
1895,-0.23,-0.39,-0.17,406.0
1896,-0.09,-0.33,0.0,419.0
1897,-0.09,-0.26,-0.03,440.0
1898,-0.26,-0.37,-0.22,465.0
1899,-0.15,-0.21,-0.13,507.0
1900,-0.07,-0.15,-0.05,534.0
1901,-0.15,-0.12,-0.16,552.0
1902,-0.25,-0.26,-0.24,566.0
1903,-0.37,-0.37,-0.37,617.0
1904,-0.45,-0.44,-0.46,624.0
1905,-0.27,-0.33,-0.25,663.0
1906,-0.21,-0.17,-0.22,707.0
1907,-0.38,-0.62,-0.29,784.0
1908,-0.43,-0.44,-0.43,750.0
1909,-0.44,-0.43,-0.45,785.0
1910,-0.4,-0.36,-0.42,819.0
1911,-0.44,-0.48,-0.43,836.0
1912,-0.34,-0.48,-0.28,879.0
1913,-0.32,-0.31,-0.32,943.0
1914,-0.14,-0.06,-0.17,850.0
1915,-0.09,-0.08,-0.1,838.0
1916,-0.32,-0.46,-0.26,901.0
1917,-0.4,-0.63,-0.29,955.0
1918,-0.3,-0.5,-0.21,936.0
1919,-0.25,-0.33,-0.21,806.0
1920,-0.23,-0.36,-0.18,932.0
1921,-0.16,-0.15,-0.17,803.0
1922,-0.25,-0.27,-0.24,845.0
1923,-0.25,-0.29,-0.24,970.0
1924,-0.24,-0.25,-0.24,963.0
1925,-0.18,-0.15,-0.19,975.0
1926,-0.07,-0.02,-0.1,983.0
1927,-0.17,-0.22,-0.16,1062.0
1928,-0.18,-0.15,-0.2,1065.0
1929,-0.33,-0.49,-0.27,1145.0
1930,-0.11,-0.13,-0.11,1053.0
1931,-0.06,-0.02,-0.08,940.0
1932,-0.13,-0.03,-0.17,847.0
1933,-0.26,-0.36,-0.22,893.0
1934,-0.11,-0.06,-0.13,973.0
1935,-0.16,-0.17,-0.15,1027.0
1936,-0.12,-0.12,-0.12,1130.0
1937,-0.01,-0.02,-0.01,1209.0
1938,-0.02,0.17,-0.1,1142.0
1939,0.01,0.1,-0.03,1192.0
1940,0.16,0.07,0.2,1299.0
1941,0.27,0.1,0.35,1334.0
1942,0.11,0.06,0.13,1342.0
1943,0.11,0.07,0.12,1391.0
1944,0.28,0.19,0.32,1383.0
1945,0.18,-0.07,0.3,1160.0
1946,-0.01,-0.01,-0.01,1238.0
1947,-0.04,0.04,-0.07,1392.0
1948,-0.05,0.05,-0.1,1469.0
1949,-0.07,-0.07,-0.08,1419.0
1950,-0.15,-0.32,-0.09,1630.0
1951,0.0,-0.06,0.02,1767.0
1952,0.05,-0.05,0.08,1795.0
1953,0.13,0.2,0.1,1841.0
1954,-0.1,-0.12,-0.09,1865.0
1955,-0.13,-0.11,-0.13,2042.0
1956,-0.18,-0.4,-0.1,2177.0
1957,0.07,-0.04,0.11,2270.0
1958,0.13,0.15,0.12,2330.0
1959,0.08,0.09,0.08,2454.0
1960,0.05,0.0,0.07,2569.0
1961,0.1,0.12,0.09,2580.0
1962,0.11,0.16,0.09,2686.0
1963,0.12,0.21,0.08,2833.0
1964,-0.14,-0.22,-0.11,2995.0
1965,-0.07,-0.12,-0.05,3130.0
1966,-0.01,-0.05,0.01,3288.0
1967,0.0,0.01,-0.01,3393.0
1968,-0.03,-0.11,0.01,3566.0
1969,0.11,-0.08,0.17,3780.0
1970,0.06,0.05,0.06,4053.0
1971,-0.07,-0.02,-0.09,4208.0
1972,0.04,-0.17,0.11,4376.0
1973,0.19,0.34,0.14,4614.0
1974,-0.06,-0.18,-0.02,4623.0
1975,0.01,0.14,-0.04,4596.0
1976,-0.07,-0.23,-0.01,4864.0
1977,0.21,0.25,0.19,5016.0
1978,0.12,0.1,0.12,5074.0
1979,0.23,0.17,0.24,5357.0
1980,0.28,0.31,0.26,5301.0
1981,0.32,0.52,0.25,5138.0
1982,0.19,0.11,0.22,5094.0
1983,0.36,0.5,0.3,5075.0
1984,0.17,0.06,0.2,5258.0
1985,0.16,0.1,0.18,5417.0
1986,0.23,0.3,0.21,5583.0
1987,0.38,0.45,0.36,5725.0
1988,0.39,0.58,0.32,5936.0
1989,0.29,0.36,0.27,6066.0
1990,0.45,0.66,0.37,6074.0
1991,0.39,0.53,0.34,6142.0
1992,0.24,0.24,0.23,6078.0
1993,0.28,0.35,0.25,6070.0
1994,0.34,0.48,0.29,6174.0
1995,0.47,0.78,0.35,6305.0
1996,0.32,0.35,0.31,6448.0
1997,0.51,0.64,0.46,6556.0
1998,0.65,0.98,0.52,6576.0
1999,0.44,0.78,0.31,6561.0
2000,0.42,0.62,0.34,6733.0
2001,0.57,0.84,0.46,6893.0
2002,0.62,0.95,0.49,6994.0
2003,0.63,0.94,0.52,7376.0
2004,0.58,0.81,0.49,7743.0
2005,0.66,1.08,0.5,8042.0
2006,0.63,0.97,0.5,8336.0
2007,0.61,1.12,0.43,8503.0
2008,0.54,0.89,0.41,8776.0
2009,0.64,0.9,0.54,8697.0
2010,0.72,1.14,0.56,9128.0
2011,0.57,0.91,0.44,9503.0
2012,0.63,0.95,0.51,9673.0
2013,0.67,1.03,0.53,9773.0
2014,0.73,1.01,0.63,9855.0
2015,0.92,1.39,0.75,
2016,0.98,1.5,0.79,
2017,0.9,1.38,0.72,
2018,0.82,1.18,0.68,
1751,,,,3.0
1752,,,,3.0
1753,,,,3.0
1754,,,,3.0
1755,,,,3.0
1756,,,,3.0
1757,,,,3.0
1758,,,,3.0
1759,,,,3.0
1760,,,,3.0
1761,,,,3.0
1762,,,,3.0
1763,,,,3.0
1764,,,,3.0
1765,,,,3.0
1766,,,,3.0
1767,,,,3.0
1768,,,,3.0
1769,,,,3.0
1770,,,,3.0
1771,,,,4.0
1772,,,,4.0
1773,,,,4.0
1774,,,,4.0
1775,,,,4.0
1776,,,,4.0
1777,,,,4.0
1778,,,,4.0
1779,,,,4.0
1780,,,,4.0
1781,,,,5.0
1782,,,,5.0
1783,,,,5.0
1784,,,,5.0
1785,,,,5.0
1786,,,,5.0
1787,,,,5.0
1788,,,,5.0
1789,,,,5.0
1790,,,,5.0
1791,,,,6.0
1792,,,,6.0
1793,,,,6.0
1794,,,,6.0
1795,,,,6.0
1796,,,,6.0
1797,,,,7.0
1798,,,,7.0
1799,,,,7.0
1800,,,,8.0
1801,,,,8.0
1802,,,,10.0
1803,,,,9.0
1804,,,,9.0
1805,,,,9.0
1806,,,,10.0
1807,,,,10.0
1808,,,,10.0
1809,,,,10.0
1810,,,,10.0
1811,,,,11.0
1812,,,,11.0
1813,,,,11.0
1814,,,,11.0
1815,,,,12.0
1816,,,,13.0
1817,,,,14.0
1818,,,,14.0
1819,,,,14.0
1820,,,,14.0
1821,,,,14.0
1822,,,,15.0
1823,,,,16.0
1824,,,,16.0
1825,,,,17.0
1826,,,,17.0
1827,,,,18.0
1828,,,,18.0
1829,,,,18.0
1830,,,,24.0
1831,,,,23.0
1832,,,,23.0
1833,,,,24.0
1834,,,,24.0
1835,,,,25.0
1836,,,,29.0
1837,,,,29.0
1838,,,,30.0
1839,,,,31.0
1840,,,,33.0
1841,,,,34.0
1842,,,,36.0
1843,,,,37.0
1844,,,,39.0
1845,,,,43.0
1846,,,,43.0
1847,,,,46.0
1848,,,,47.0
1849,,,,50.0
1850,,,,54.0
1851,,,,54.0
1852,,,,57.0
1853,,,,59.0
1854,,,,69.0
1855,,,,71.0
1856,,,,76.0
1857,,,,77.0
1858,,,,78.0
1859,,,,83.0
1860,,,,91.0
1861,,,,95.0
1862,,,,97.0
1863,,,,104.0
1864,,,,112.0
1865,,,,119.0
1866,,,,122.0
1867,,,,130.0
1868,,,,135.0
1869,,,,142.0
1870,,,,147.0
1871,,,,156.0
1872,,,,173.0
1873,,,,184.0
1874,,,,174.0
1875,,,,188.0
1876,,,,191.0
1877,,,,194.0
1878,,,,196.0
1879,,,,210.0
